state_action_state_weights
49188 682 1 1
"i" "N" "g" 517767
"s" "N" "w" 910964
"" "N" "ger" 105244
"ger" "N" "g" 1564
"n" "N" "ge" 81513
"n" "N" "er" 213909
"er" "N" "a" 417106
"ll" "N" "y" 344874
"y" "N" "th" 483714
"ey" "N" "h" 33622
"a" "N" "ve" 287465
"ve" "N" "b" 71142
"b" "N" "ee" 182552
"ee" "N" "n" 420530
"n" "N" "r" 558505
"" "N" "erred" 26252
"erred" "N" "t" 18170
"o" "N" "b" 732464
"o" "N" "mm" 298829
"mm" "N" "o" 53227
"s" "N" "ch" 318210
"ch" "N" "i" 442083
"se" "N" "l" 27091
"n" "N" "te" 47106
"d" "N" "" 480650
"r" "N" "l" 286862
"l" "N" "our" 5988
"our" "N" "m" 1576
"" "N" "ap" 195943
"ap" "N" "le" 4011
"le" "N" "f" 82975
"i" "N" "le" 137190
"le" "N" "a" 123577
"m" "N" "'" 12431
"'" "N" "m" 11645
"c" "N" "h" 373042
"s" "N" "'" 59951
"'" "N" "f" 7947
"" "N" "ower" 48528
"ower" "N" "s" 18855
"p" "N" "x" 78314
"x" "N" "j" 2015
"j" "N" "p" 46990
"p" "N" "g" 62380
"r" "N" "'" 16138
"n" "N" "ch" 274201
"l" "N" "ower" 5344
"ower" "N" "c" 3521
"le" "N" "z" 2479
"z" "N" "i" 166003
"a" "N" "h" 363848
"ower" "N" "i" 2934
"ng" "N" "a" 405682
"i" "N" "p" 180971
"p" "N" "t" 207875
"ia" "N" "b" 13358
"b" "N" "" 736203
"" "N" "le" 574107
"le" "N" "s" 340920
"s" "N" "ou" 259699
"ou" "N" "r" 303777
"r" "N" "ce" 59963
"ce" "N" "h" 41263
"e" "N" "tt" 126913
"tt" "N" "" 137645
"" "N" "l" 131506
"l" "N" "ed" 130574
"s" "N" "tio" 2983
"tio" "N" "n" 84681
"age" "N" "f" 12930
"d" "N" "th" 519070
"n" "N" "v" 338682
"s" "N" "l" 724439
"" "N" "aid" 55997
"aid" "N" "t" 7592
"" "N" "per" 254424
"per" "N" "h" 6625
"h" "N" "" 601514
"ap" "N" "s" 19028
"" "N" "deri" 13988
"deri" "N" "ve" 1409
"ve" "N" "f" 30686
"m" "N" "th" 291084
"o" "N" "ph" 70150
"ph" "N" "r" 12848
"r" "N" "ia" 13801
"ia" "N" "t" 19824
"a" "N" "da" 28873
"da" "N" "r" 66857
"r" "N" "w" 144320
"n" "N" "y" 433798
"ou" "N" "th" 162088
"th" "N" "a" 1001346
"e" "N" "r" 1216514
"" "N" "ip" 269009
"ip" "N" "t" 39280
"s" "N" "v" 171503
"o" "N" "me" 284927
"s" "N" "h" 1010181
"ve" "N" "" 70701
"s" "N" "sh" 76278
"sh" "N" "o" 106745
"o" "N" "'" 24825
"'" "N" "t" 17113
"ll" "N" "w" 33422
"hi" "N" "le" 46917
"le" "N" "o" 104788
"th" "N" "er" 519388
"r" "N" "ea" 606948
"ea" "N" "ch" 133882
"ng" "N" "'" 7314
"'" "N" "i" 17419
"h" "N" "eigh" 10994
"eigh" "N" "t" 58428
"n" "N" "ce" 603587
"ce" "N" "s" 87616
"m" "N" "c" 173764
"y" "N" "i" 504432
"i" "N" "f" 534449
"c" "N" "p" 78100
"" "N" "id" 128794
"id" "N" "s" 16720
"ado" "N" "l" 3530
"l" "N" "ph" 41269
"ph" "N" "e" 37246
"ph" "N" "i" 147767
"i" "N" "" 356544
"ll" "N" "o" 113272
"m" "N" "ay" 149172
"ay" "N" "" 25040
"de" "N" "c" 203218
"m" "N" "b" 1012181
"b" "N" "er" 815214
"o" "N" "pa" 15674
"ch" "N" "pa" 831
"pa" "N" "i" 14883
"o" "N" "g" 506055
"a" "N" "ph" 150639
"" "N" "ogi" 48605
"ogi" "N" "s" 16501
"a" "N" "do" 13100
"do" "N" "l" 11941
"ll" "N" "u" 35577
"ed" "N" "m" 101978
"" "N" "ura" 58107
"ura" "N" "l" 51026
"t" "N" "or" 395246
"" "N" "ct" 354429
"ct" "N" "io" 348769
"" "N" "pe" 385537
"pe" "N" "t" 72331
"l" "N" "ar" 145777
"ar" "N" "o" 5667
"s" "N" "th" 1086765
"" "N" "ior" 60506
"ior" "N" "i" 2683
"m" "N" "n" 137715
"d" "N" "'" 32128
"'" "N" "h" 9863
"t" "N" "ure" 269851
"ure" "N" "ll" 268
"ll" "N" "e" 207163
"c" "N" "ai" 6788
"ai" "N" "se" 6505
"se" "N" "h" 42187
"o" "N" "ur" 47485
"ur" "N" "a" 38520
"b" "N" "le" 23308
"le" "N" "m" 69857
"i" "N" "o" 727353
"l" "N" "ogi" 10712
"ogi" "N" "que" 179
"que" "N" "" 4994
"de" "N" "f" 119609
"ce" "N" "g" 12047
"l" "N" "le" 19797
"le" "N" "r" 63717
"t" "N" "po" 6983
"po" "N" "r" 265396
"a" "N" "i" 570808
"t" "N" "j" 9821
"g" "N" "po" 930
"g" "N" "ir" 23613
"ir" "N" "l" 25773
"l" "N" "f" 332841
"o" "N" "e" 168417
"u" "N" "f" 59582
"i" "N" "x" 61181
"x" "N" "ed" 21921
"ed" "N" "j" 1071
"n" "N" "ou" 47678
"ou" "N" "v" 6657
"v" "N" "eau" 684
"eau" "N" "l" 313
"u" "N" "ss" 91163
"ss" "N" "e" 166124
"r" "N" "f" 147206
"le" "N" "pa" 1403
"pa" "N" "p" 3469
"" "N" "pou" 13258
"pou" "N" "r" 3047
"s" "N" "j" 16217
"p" "N" "api" 14
"api" "N" "ll" 181
"de" "N" "p" 13044
"u" "N" "me" 29163
"g" "N" "t" 66162
"t" "N" "ype" 2702
"a" "N" "d" 330878
"u" "N" "x" 26236
"x" "N" "-p" 1096
"-p" "N" "ou" 285
"g" "N" "l" 253312
"h" "N" "r" 109924
"s" "N" "-p" 3379
"g" "N" "f" 36903
"pi" "N" "g" 4523
"g" "N" "n" 256567
"r" "N" "s" 672768
"a" "N" "j" 34056
"e" "N" "ur" 25720
"ur" "N" "s" 36736
"b" "N" "j" 5164
"f" "N" "le" 5363
"le" "N" "ur" 494
"c" "N" "j" 4080
"-p" "N" "o" 10470
"f" "N" "ou" 220645
"r" "N" "ure" 67
"ure" "N" "s" 97995
"r" "N" "ui" 15763
"ui" "N" "t" 58019
"u" "N" "i" 273983
"c" "N" "te" 6466
"te" "N" "s" 384575
"d" "N" "j" 12642
"s" "N" "que" 14719
"que" "N" "s" 22648
"e" "N" "-p" 8530
"" "N" "ere" 78968
"ere" "N" "n" 90529
"e" "N" "x" 383201
"x" "N" "t" 296240
"n" "N" "k" 506667
"k" "N" "s" 234800
"b" "N" "n" 26967
"n" "N" "z" 97102
"t" "N" "di" 9632
"di" "N" "c" 50267
"pe" "N" "i" 4243
"s" "N" "d" 116287
"e" "N" "ss" 609683
"t" "N" "g" 155448
"ve" "N" "ur" 213
"s" "N" "di" 21220
"di" "N" "t" 50981
"s" "N" "g" 260279
"th" "N" "c" 102634
"t" "N" "ur" 262053
"ur" "N" "y" 102418
"ch" "N" "" 138178
"" "N" "pai" 61578
"pai" "N" "n" 49342
"n" "N" "ter" 83285
"ter" "N" "s" 8016
"ch" "N" "m" 50581
"le" "N" "" 75096
"" "N" "dea" 79513
"dea" "N" "th" 75875
"h" "N" "c" 102914
"y" "N" "ou" 15309
"ou" "N" "c" 2985
"n" "N" "-e" 5482
"-e" "N" "a" 6725
"s" "N" "ea" 211545
"ea" "N" "t" 294956
"ll" "N" "ed" 129834
"l" "N" "-i" 2202
"-i" "N" "n" 26508
"v" "N" "e" 887040
"s" "N" "are" 71302
"are" "N" "b" 5914
"b" "N" "l" 788706
"" "N" "cks" 61320
"cks" "N" "o" 15996
"" "N" "ad" 600577
"ad" "N" "i" 102810
"i" "N" "u" 124274
"r" "N" "ar" 935
"ar" "N" "e" 14703
"ch" "N" "s" 51640
"der" "N" "s" 111454
"are" "N" "e" 5022
"ed" "N" "t" 410755
"" "N" "ood" 122845
"ood" "N" "a" 15784
"d" "N" "d" 83876
"k" "N" "t" 80894
"y" "N" "pi" 3724
"" "N" "ju" 287592
"ju" "N" "n" 54037
"k" "N" "f" 51183
"ood" "N" "i" 9391
"" "N" "udi" 80638
"udi" "N" "ng" 79639
"t" "N" "do" 3062
"do" "N" "g" 12445
"g" "N" "s" 136458
"o" "N" "s" 1142492
"p" "N" "c" 52071
"t" "N" "d" 70295
"d" "N" "b" 281948
"ed" "N" "w" 183631
"er" "N" "b" 193550
"o" "N" "re" 288724
"re" "N" "a" 92830
"me" "N" "t" 78534
"" "N" "ypi" 14933
"ypi" "N" "c" 10013
"ss" "N" "" 77566
"" "N" "ira" 9244
"ira" "N" "b" 443
"ea" "N" "" 397075
"" "N" "s" 95299
"u" "N" "ch" 152560
"ch" "N" "a" 688104
"e" "N" "b" 877142
"ch" "N" "er" 34149
"" "N" "upper" 15523
"upper" "N" "de" 54
"de" "N" "ck" 3141
"ck" "N" "s" 36519
"y" "N" "ce" 2474
"a" "N" "re" 268263
"re" "N" "p" 18543
"c" "N" "ed" 214707
"ed" "N" "" 201030
"" "N" "app" 130342
"app" "N" "r" 55140
"x" "N" "i" 235129
"te" "N" "l" 78741
"t" "N" "are" 9324
"are" "N" "v" 1898
"pa" "N" "t" 97540
"g" "N" "ai" 127375
"h" "N" "igh" 124015
"igh" "N" "c" 5756
"f" "N" "c" 271397
"ss" "N" "io" 157966
"" "N" "ks" 181536
"ks" "N" "th" 8790
"y" "N" "c" 505184
"" "N" "odu" 154719
"odu" "N" "c" 101710
"d" "N" "s" 890526
"" "N" "ead" 108847
"ead" "N" "t" 5284
"gue" "N" "b" 7111
"a" "N" "se" 85231
"se" "N" "b" 40608
"ks" "N" "b" 8540
"d" "N" "n" 170461
"" "N" "erou" 14710
"erou" "N" "s" 14719
"n" "N" "or" 94414
"o" "N" "ng" 342508
"ng" "N" "b" 110541
"ll" "N" "s" 144585
"a" "N" "di" 68034
"di" "N" "u" 7815
"m" "N" "s" 632600
"ere" "N" "a" 31563
"n" "N" "au" 83214
"au" "N" "g" 88363
"ura" "N" "t" 6359
"n" "N" "ue" 18752
"ue" "N" "s" 65345
"p" "N" "or" 23490
"or" "N" "t" 100580
"ng" "N" "s" 397513
"x" "N" "n" 12593
"a" "N" "tio" 77541
"l" "N" "b" 383413
"s" "N" "k" 380704
"t" "N" "b" 548785
"ll" "N" "a" 259692
"a" "N" "ss" 363180
"ss" "N" "o" 143439
"i" "N" "ne" 289443
"ne" "N" "n" 14733
"o" "N" "ck" 142556
"ck" "N" "ey" 21360
"ey" "N" "l" 17264
"gue" "N" "a" 7771
"f" "N" "oo" 102320
"oo" "N" "t" 128371
"ll" "N" "l" 31891
"gue" "N" "s" 13823
"era" "N" "l" 116502
"l" "N" "n" 122226
"a" "N" "ce" 150833
"ce" "N" "t" 57863
"cks" "N" "th" 3551
"gue" "N" "r" 3596
"m" "N" "ai" 157801
"y" "N" "n" 271761
"gue" "N" "w" 4076
"w" "N" "he" 136793
"he" "N" "re" 56816
"re" "N" "n" 26031
"ve" "N" "i" 50677
"" "N" "ted" 10761
"ted" "N" "a" 1608
"x" "N" "u" 22892
"x" "N" "e" 83668
"d" "N" "c" 394841
"re" "N" "t" 30277
"i" "N" "ve" 550076
"ve" "N" "w" 25153
"th" "N" "u" 54035
"k" "N" "" 167599
"" "N" "du" 261990
"du" "N" "r" 108026
"e" "N" "ve" 120377
"ve" "N" "n" 72149
"ey" "N" "a" 48669
"o" "N" "a" 500567
"" "N" "due" 54456
"due" "N" "t" 50861
"th" "N" "ei" 221011
"ei" "N" "r" 229678
"le" "N" "l" 27191
"" "N" "ue" 109895
"ue" "N" "a" 10197
"d" "N" "h" 336436
"i" "N" "ck" 139593
"ck" "N" "e" 68213
"t" "N" "p" 233453
"i" "N" "ce" 223561
"ce" "N" "r" 40410
"ve" "N" "t" 51748
"ng" "N" "f" 132515
"x" "N" "ur" 1425
"u" "N" "a" 497799
"y" "N" "r" 372697
"" "N" "gi" 75207
"gi" "N" "ng" 26776
"u" "N" "ff" 38611
"ff" "N" "e" 63092
"f" "N" "-p" 2346
"-p" "N" "r" 21750
"r" "N" "ed" 176060
"ed" "N" "g" 36851
"g" "N" "ou" 5765
"m" "N" "et" 230
"et" "N" "" 538
"di" "N" "sh" 14111
"sh" "N" "e" 262119
"e" "N" "sh" 83417
"sh" "N" "p" 13156
"odu" "N" "ce" 10912
"ce" "N" "a" 125033
"" "N" "oppo" 34076
